"county_name" "state" "confirmed_cases" "deaths" "total_pop" "white_pop" "black_pop" "asian_pop" "amerindian_pop" "hispanic_pop" "median_income" "households_public_asst_or_food_stamps" "children_in_single_female_hh" "employed_pop" "unemployed_pop" "pop_determined_poverty_status" "not_us_citizen_pop" "two_parent_families_with_young_children" "poverty" "income_under_40" "income_over_40_under_100" "income_over_100" "income_200000_or_more" "commuters_in_groups" "local_commuters" "out_of_town_commuters" "cases_per_1000" "deaths_per_1000" "death_per_case" "k12_students" "children" "some_college_and_associates_degree" "associates_degree" "bachelors_degree" "masters_degree"
"1468" "Carroll County" "MO" 738 18 8909 8451 77 24 0 134 43583 545 471 3700 329 8781 31 388 1615 1712 1367 410 129 338 2335 594 82.8375799753059 2.02042877988551 0.024390243902439 1356 2035 1407 315 680 323
"1469" "Benton County" "MO" 1346 19 18918 18033 67 24 73 358 35097 1233 599 6177 664 18612 58 532 3456 4420 2849 668 45 880 4055 1124 71.1491701025478 1.00433449624696 0.0141158989598811 2356 3336 4342 1049 1005 502
"1470" "Ozark County" "MO" 485 5 9328 8923 4 26 12 160 32021 812 215 3107 286 9229 10 256 2549 2551 1312 201 11 355 2149 635 51.9939965694683 0.536020583190395 0.0103092783505155 1294 1823 1737 377 522 301
"1471" "Grundy County" "MO" 776 28 10111 9570 34 26 104 210 41092 548 666 4506 168 9800 169 536 2008 1957 1579 431 51 431 3522 290 76.7480961329245 2.76926120067253 0.0360824742268041 1453 2347 1946 634 749 349
"1472" "Sullivan County" "MO" 726 12 6382 4946 115 27 24 1180 42034 252 348 2681 94 6207 267 211 989 1100 941 221 21 535 2062 190 113.757442807897 1.88028831087433 0.0165289256198347 1071 1481 1018 257 276 156
"1473" "Gentry County" "MO" 683 17 6688 6449 63 29 48 20 43777 290 236 3037 130 6509 28 430 1180 1232 1134 280 16 426 1825 514 102.123205741627 2.54186602870813 0.0248901903367496 982 1664 1176 253 639 214
"1474" "Stone County" "MO" 1849 28 31529 29988 50 29 349 662 43292 1530 758 12223 1019 31143 178 1033 3999 5906 5127 1548 299 1605 7960 2530 58.6444225950712 0.888071299438612 0.0151433207138994 3959 5404 7880 1582 3099 1007
"1475" "DeKalb County" "MO" 860 21 12564 10583 1231 31 85 282 46517 287 325 4325 151 9051 58 444 1135 1729 1513 548 64 408 2951 776 68.4495383635785 1.67144221585482 0.0244186046511628 1908 2059 2375 515 1015 275
"1476" "Bates County" "MO" 968 14 16405 15508 205 32 73 340 45605 954 647 7261 396 16010 36 717 2296 3044 2495 1037 128 944 4264 1758 59.0064004876562 0.853398354160317 0.0144628099173554 2686 3992 2821 667 1086 481
"1477" "Linn County" "MO" 484 9 12248 11644 48 34 24 254 41652 517 776 5516 180 12117 41 461 1999 2402 2023 507 65 644 4176 452 39.5166557805356 0.73481384715872 0.0185950413223141 2084 2928 2190 676 816 312
"1478" "Ralls County" "MO" 718 9 10208 9775 128 46 49 127 50161 313 416 5003 238 10057 27 440 1342 1458 1895 582 59 335 3958 477 70.3369905956113 0.88166144200627 0.0125348189415042 1572 2195 1971 560 602 263
"1479" "Madison County" "MO" 1293 11 12226 11603 116 50 34 286 37484 849 442 4976 307 11917 47 794 2241 2524 1884 407 52 669 3551 729 105.758220186488 0.899721904138721 0.00850734725444702 1750 2781 2785 668 787 225
"1480" "Bollinger County" "MO" 1015 12 12347 11919 53 50 81 149 40791 814 561 4995 268 12247 10 512 2438 2362 1936 396 111 912 2844 1397 82.2062039361788 0.971896007127237 0.0118226600985222 2000 2745 2091 469 575 190
"1481" "Audrain County" "MO" 1954 44 25763 22427 1572 54 58 754 44056 1078 1369 10622 853 23610 199 1089 3953 4125 4317 874 141 1048 8326 1157 75.8452043628459 1.70787563560144 0.022517911975435 4045 6019 4193 1137 1520 662
"1482" "Dent County" "MO" 771 9 15566 14755 69 60 133 249 38829 1116 667 5930 470 15296 95 741 3178 3140 2419 407 121 767 4243 948 49.5310291661313 0.578183219838109 0.0116731517509728 2482 3584 2811 738 915 399
"1483" "Wright County" "MO" 1273 24 18304 17445 108 92 34 313 31290 1845 1173 6631 611 17988 43 709 4493 4597 2296 368 227 664 4277 1310 69.5476398601399 1.31118881118881 0.01885310290652 3063 4544 3084 736 866 368
"1484" "Marion County" "MO" 2520 32 28703 25891 1396 208 49 465 44098 1642 1806 13150 915 27251 111 1211 5013 5066 4774 1283 188 990 10828 807 87.795700797826 1.11486604187716 0.0126984126984127 4224 6765 5503 1347 2742 950
"1485" "Pulaski County" "MO" 2864 33 53132 36969 6241 1347 397 5770 51137 1594 2674 16142 1552 43480 1317 3195 5567 5480 7486 2261 148 2157 18463 1065 53.9034856583603 0.621094632236694 0.0115223463687151 7921 11837 10404 2987 4860 2465
"1486" "Jackson County (including other portions of Kansas City)" "MO" 60660 667 688554 430411 161236 12320 2410 60846 50652 37933 56278 338110 20320 677650 23696 30458 108026 111914 112658 45469 10133 32668 280667 30952 88.0976655425718 0.96869671804971 0.0109957138147049 107976 164888 143720 33121 89255 36929
"1487" "Cape Girardeau County" "MO" 7034 106 78013 67423 6142 1094 101 1781 49554 3465 4169 37488 2099 74772 1564 3346 13251 11851 12498 4399 865 3723 31289 2597 90.1644597695256 1.35874790099086 0.0150696616434461 11039 16723 14380 3070 9378 3957
"1488" "Lincoln County" "MO" 3919 24 54800 51157 1022 217 133 1281 58603 2484 3119 25119 1685 53876 303 3005 7122 6354 8488 3448 408 2137 16743 6762 71.514598540146 0.437956204379562 0.00612401122735392 10007 14297 10627 3474 3830 1491
"1489" "Callaway County" "MO" 4145 29 44793 40399 1937 338 202 894 53180 1889 2434 20199 908 40753 370 1890 5012 5751 7546 2494 314 2054 16567 1877 92.5367803004934 0.647422588350858 0.00699638118214716 6303 9568 8004 2234 4381 1659
"1490" "Greene County" "MO" 21443 333 286759 252812 9268 5416 1271 10061 43175 13870 13598 138083 7216 275001 5033 13741 50765 55846 45862 15001 3280 13996 120186 5942 74.7770776156982 1.16125387520531 0.0155295434407499 38133 60253 61153 13551 35715 14748
"1491" "Nodaway County" "MO" 2032 22 22744 21106 594 387 64 365 41370 1002 766 11535 575 19633 420 800 4438 4058 3284 1039 112 1156 8917 848 89.3422441083363 0.967288075976082 0.0108267716535433 2393 3745 3223 678 1916 890
"1492" "Pike County" "MO" 1397 17 18517 16359 1098 105 89 407 45112 998 786 7527 376 16168 178 842 2444 3046 2679 947 69 543 5349 1149 75.4441864232867 0.918075282173138 0.0121689334287759 2682 4077 2835 591 1471 442
"1493" "Dunklin County" "MO" 2272 16 30905 25050 3003 125 103 1966 32348 3370 2681 11669 871 30128 708 1548 8025 7503 4252 848 157 1334 8555 1495 73.5156123604595 0.517715580003236 0.00704225352112676 5314 8012 5077 1418 1658 629
"1494" "Laclede County" "MO" 2742 54 35488 33297 188 125 159 819 42646 2455 1561 14894 1242 35003 106 1636 6198 6436 6020 1199 170 1868 11896 1770 77.2655545536519 1.52164111812444 0.0196936542669584 6052 8689 7203 1920 2302 645
"1495" "Saline County" "MO" 2244 26 23010 18652 1080 194 58 2231 41567 1279 1101 10546 510 21679 888 1098 3759 4199 3466 987 102 1382 8061 769 97.522816166884 1.12994350282486 0.0115864527629234 3388 5273 3857 765 1744 819
"1496" "Taney County" "MO" 4239 60 54308 48539 548 468 437 3019 39661 3479 2777 24422 1647 52538 1211 2128 8996 11167 8663 1997 315 3866 19395 2142 78.0547985563821 1.10480960447816 0.0141542816702052 7756 11555 13175 2453 4460 1517
"1497" "Cass County" "MO" 6459 62 101888 90204 3793 842 457 4302 65352 3862 3916 49809 2565 100427 1183 5513 9492 11075 17315 8773 1543 4129 35332 9377 63.3931375628141 0.608511306532663 0.00959900913454095 17471 25364 22506 5746 11504 4777
"1498" "Vernon County" "MO" 1285 30 20665 19454 219 131 117 426 41479 1447 1080 9505 409 19897 157 1023 3018 3917 3311 749 193 973 7299 522 62.1824340672635 1.45172997822405 0.0233463035019455 3271 4959 4100 1132 1428 725
"1499" "Scott County" "MO" 3587 68 38858 32491 4441 147 181 838 41628 3220 2678 17102 1084 38095 303 1631 7646 7261 6062 1609 309 2039 13821 1239 92.3104637397705 1.74996139791034 0.018957345971564 5969 9235 7157 1442 2155 1063
"1500" "Lawrence County" "MO" 2550 60 38131 34205 222 203 205 2730 41673 2322 1979 16701 1113 37411 796 2014 6387 6814 6065 1520 237 2011 11930 2049 66.8747213553277 1.57352285541947 0.0235294117647059 6302 9728 7824 1628 2845 1046
"1501" "Camden County" "MO" 3510 66 44855 42371 324 279 249 1212 50496 1974 1429 17136 1481 44269 515 1675 7753 6518 7038 2183 601 1782 13496 1768 78.2521458031435 1.4714078698027 0.0188034188034188 5578 8209 10210 2746 4870 1892
"1502" "St. Francois County" "MO" 7179 79 66248 60963 2873 359 154 993 42873 4468 3092 26288 1818 59204 455 2913 9139 11457 10172 2777 255 3287 19875 4661 108.365535563338 1.19248882985147 0.0110043181501602 10064 14086 15108 4174 3715 1882
"1503" "Christian County" "MO" 6298 60 83028 77763 474 375 259 2325 55761 2805 3832 39399 2199 82301 646 4907 8588 10546 14264 4938 1026 3340 32285 3575 75.8539287951053 0.722647781471311 0.00952683391552874 14764 21557 17800 4657 10401 3666
"1504" "Cedar County" "MO" 612 9 13862 13162 5 33 0 278 35930 1396 912 4908 618 13654 80 631 3079 3371 1961 434 113 351 3298 850 44.1494733804646 0.64925696147742 0.0147058823529412 2247 3331 2750 640 859 330
"1505" "Dallas County" "MO" 757 19 16441 15595 5 33 118 319 41441 995 663 5978 504 16221 36 889 2553 2965 2745 331 115 835 3699 1475 46.0434280153275 1.15564746669911 0.0250990752972259 2549 3890 3145 671 782 473
"1506" "Atchison County" "MO" 286 6 5335 5155 20 33 20 66 45259 242 199 2666 113 5232 28 231 634 1140 1008 278 66 225 2023 211 53.6082474226804 1.12464854732896 0.020979020979021 669 1027 1064 308 683 176
"1507" "Henry County" "MO" 1586 25 21834 20521 317 33 152 486 41089 1667 1350 8906 640 21359 197 881 4524 4566 3681 893 154 688 6711 1160 72.6390033892095 1.14500320600898 0.0157629255989912 3329 4886 4552 984 1716 604
"1508" "Caldwell County" "MO" 599 8 9046 8578 46 35 40 188 44975 390 348 3840 152 8708 68 399 1160 1638 1610 447 46 348 2181 1161 66.2171125359275 0.884368781782003 0.013355592654424 1643 2180 1788 488 780 200
"1509" "Ray County" "MO" 1318 15 22859 21478 351 37 114 534 57270 1044 1091 10601 605 22581 32 908 3527 3112 3713 1714 145 1197 6446 3131 57.6578153025067 0.656196684019423 0.0113808801213961 3823 5290 4264 978 1627 521
"1510" "Texas County" "MO" 1475 20 25714 23452 511 49 558 525 35571 1929 1062 8748 671 24136 41 1311 6102 5047 3354 865 37 1353 6492 1353 57.3617484638718 0.777786419849109 0.0135593220338983 4224 5977 4894 954 1718 594
"1511" "Clinton County" "MO" 1421 60 20495 19249 409 57 75 410 57591 775 974 9661 383 19864 112 713 2190 2612 3769 1631 173 1219 6114 2625 69.3339838985118 2.92754330324469 0.0422237860661506 3507 4879 4935 1292 1803 631
"1512" "Cooper County" "MO" 1606 21 17620 15538 1139 59 59 314 46547 743 992 7804 409 16023 82 819 1787 2784 2631 932 63 749 5933 992 91.1464245175936 1.19182746878547 0.0130759651307597 2954 3864 3475 1005 1792 578
"1513" "Macon County" "MO" 1071 10 15319 14397 346 61 41 196 38903 655 871 6388 514 15036 66 799 2563 3083 2432 417 91 685 4865 533 69.9131797114694 0.652784124290097 0.00933706816059757 2507 3676 2906 754 1081 471
"1514" "Livingston County" "MO" 1193 25 15025 13967 416 74 94 250 45929 824 607 6637 232 13777 76 596 2469 2572 2464 663 114 652 5201 476 79.4009983361065 1.66389351081531 0.0209555741827326 2224 3234 2793 1033 1335 546
"1515" "Oregon County" "MO" 636 3 10779 10164 19 90 111 176 32070 854 585 4158 219 10507 14 331 2662 2532 1421 413 9 353 2993 405 59.0036181463958 0.278318953520735 0.00471698113207547 1603 2411 2210 606 597 280
"1516" "Webster County" "MO" 2803 45 37558 35505 452 118 120 733 45185 2017 1531 15097 765 36390 169 2186 6694 5875 5561 1728 147 1833 11248 2607 74.6312370200756 1.19814686618031 0.0160542276132715 6455 10225 7562 1877 2439 1080
"1517" "Howell County" "MO" 2639 41 40139 37931 130 188 117 823 34984 3308 2195 16463 866 39362 337 1769 9026 9058 5254 1610 282 1753 13637 1106 65.7465308054511 1.02145045965271 0.0155361879499811 6705 9731 8661 2533 2359 1288
"1518" "Pettis County" "MO" 4473 68 42309 36084 1203 236 59 3626 43097 2444 2170 18739 1152 41307 1870 2168 7125 7451 6737 1550 293 1774 15473 1202 105.722186768773 1.60722304946938 0.01520232506148 7217 10582 9280 2757 3194 1274
"1519" "McDonald County" "MO" 1821 23 22753 17838 418 312 519 2631 41207 1431 1563 9010 596 22450 1415 1010 4269 3970 3304 727 136 1258 6586 1586 80.0334021887224 1.01085571133477 0.0126304228445909 4124 5920 4130 960 1139 418
"1520" "Franklin County" "MO" 7664 122 102413 97576 840 592 195 1706 53849 4283 4406 49855 2584 101117 600 4966 10740 14766 17941 6759 1146 4673 33869 11530 74.8342495581616 1.19125501645299 0.0159185803757829 16231 23988 23998 7330 9306 3987
"1521" "Jefferson County" "MO" 17387 153 222639 210764 2229 1697 523 4108 60765 10000 10548 109196 7564 219966 1535 10277 24077 25796 38162 17812 1974 8836 75474 26330 78.0950327660473 0.687211135515341 0.00879967792028527 36715 53139 55401 17490 19821 8197
"1522" "Johnson County" "MO" 3552 34 53941 46474 2445 753 317 2203 50689 2321 1732 24278 1812 49182 848 3108 7953 7673 9102 2907 236 2460 20322 3624 65.8497246992084 0.630318310746927 0.00957207207207207 7110 11696 10224 2883 5310 2513
"1523" "Clay County" "MO" 7115 119 236068 193763 13210 5258 741 15590 65675 7291 11302 123139 5710 232843 4493 13529 20693 24546 39918 21106 4139 10683 100414 12098 30.1396207872308 0.504092041276242 0.0167252283907238 38201 58376 50423 13462 34344 12482
"1524" "Adair County" "MO" 1880 6 25437 23030 617 595 56 596 38750 1035 1040 11274 656 22681 702 1075 5943 4930 3223 1258 184 1342 9030 707 73.9080866454377 0.235876872272674 0.00319148936170213 3042 4590 3206 813 2046 1305
"1525" "Phelps County" "MO" 2811 103 44873 39974 1125 1642 379 1086 41681 2173 2161 19096 1289 41801 1789 2012 8542 8312 6254 2249 515 2031 15556 1575 62.6434604327769 2.29536692443117 0.0366417644966204 6145 9472 7382 2199 4569 2129
"1526" "Butler County" "MO" 3096 20 42826 38123 2305 283 196 860 37878 3615 3179 16983 1722 41865 350 1507 9025 8578 6325 1201 446 1866 14257 1090 72.2925325736702 0.467006024377714 0.00645994832041344 6400 10025 9188 2403 2899 1228
"1527" "Buchanan County" "MO" 6569 113 89425 74906 4826 886 167 5706 48652 5188 6119 42011 2548 85137 2610 3495 14698 14063 14019 4437 785 4801 35710 3301 73.4582051998882 1.2636287391669 0.0172020094382707 13747 20504 18516 3872 7885 2867
"1528" "Barton County" "MO" 883 9 11942 11066 28 71 228 300 41184 738 759 5304 303 11793 123 442 2460 2389 1776 661 113 357 3804 788 73.9407134483336 0.753642605928655 0.0101925254813137 2064 2935 2303 512 962 332
"1529" "Miller County" "MO" 2218 44 24947 23712 95 119 305 451 41461 1355 1646 11068 843 24569 46 1057 4061 4515 3770 962 267 1775 8102 1858 88.9084859902994 1.76373912694913 0.0198376916140667 3822 5949 4625 1108 1752 820
"1530" "Perry County" "MO" 1954 22 19135 18295 58 134 95 407 54935 836 1036 9166 395 18768 129 909 1530 2849 3420 1177 83 1099 6734 1384 102.116540371048 1.1497256336556 0.0112589559877175 3248 4597 3458 780 1434 572
"1531" "Warren County" "MO" 1876 11 33554 30873 779 142 163 1080 56193 1482 1753 14824 968 33297 221 1869 4256 4207 5015 2349 461 1129 10211 3488 55.9098766167968 0.327829766942838 0.005863539445629 5406 8085 7558 2047 2810 1132
"1532" "Lafayette County" "MO" 2295 44 32655 30113 662 158 72 887 52557 1786 1847 15277 881 31995 283 1336 4081 4906 5883 2088 347 1563 9935 3322 70.2802021129995 1.34741999693768 0.0191721132897603 5035 7604 6325 1594 2755 1045
"1533" "Barry County" "MO" 2039 39 35398 30616 112 536 217 3169 40638 2072 1612 14330 1243 34778 1315 1279 7141 6437 5233 1203 218 1680 10011 2278 57.6021244138087 1.10175716142155 0.019127023050515 5674 8100 6624 1677 2081 764
"1534" "Jasper County" "MO" 11110 182 118522 100385 2447 1328 1635 9114 45328 6809 6778 56319 3262 115766 3363 6172 20083 20132 19613 5358 906 5346 48917 2785 93.7378714500262 1.53557989234066 0.0163816381638164 19202 29968 22997 5250 12331 3950
"1535" "Platte County" "MO" 2793 27 96899 79450 6347 2665 252 5601 74199 2065 4092 51998 2179 95707 2910 5512 6936 9375 16036 10210 2526 4888 42821 5008 28.8238268712783 0.2786406464463 0.00966702470461869 15710 23149 20913 5248 16804 7999
"1536" "Randolph County" "MO" 1764 20 24987 22243 1424 151 123 491 44754 1164 975 10098 653 22743 136 1310 3758 3850 3385 999 114 889 8117 1202 70.5967102893505 0.800416216432545 0.0113378684807256 3970 5531 6062 1933 1551 704
"1537" "Cole County" "MO" 8173 101 76749 62535 8885 1080 211 2118 54216 3168 4582 36629 1690 71825 985 3855 9027 10226 13346 5323 747 3522 31875 2288 106.489986840219 1.31597805834604 0.0123577633671846 12110 17480 14776 4005 10767 4322
"1538" "Boone County" "MO" 14698 54 174589 138754 14852 7398 233 5729 52005 7005 7927 92859 4243 165364 6615 8608 30979 27190 26309 12345 3054 10961 79282 4812 84.1862889414568 0.309297836633465 0.00367396924751667 22714 35656 27547 7360 26835 12734
"1539" "Newton County" "MO" 3797 60 58237 50367 530 766 1334 2994 46723 2628 2587 27120 1543 57216 1373 2668 7389 9407 9122 2941 681 2910 21719 2147 65.1991002283771 1.03027285059327 0.0158019489070319 9977 14129 12991 3324 5053 1693
"1540" "City of St. Louis" "MO" 17569 293 314867 135150 149456 9710 706 12280 38664 32021 32414 152079 15697 306012 12195 9513 76472 71601 47124 16797 4219 27081 125408 15526 55.7981623987271 0.93055162973573 0.0166771017132449 38996 62704 62393 14513 41639 21940
"1541" "St. Charles County" "MO" 30391 316 385115 337826 16344 9041 537 12163 78380 7093 14864 206974 7828 376960 8214 22268 21362 30463 60599 42056 9436 13604 164944 24353 78.9140905963154 0.820534126170105 0.0103978151426409 63591 92914 82956 24399 62970 27901
"1542" "St. Louis County" "MO" 67686 1358 999539 668690 236515 39534 1529 27784 62931 37970 60297 496931 31165 978323 32770 44528 95974 124067 158276 85400 34564 48286 411654 44635 67.7172176373308 1.35862632673663 0.0200632331649085 154963 222577 199920 52068 171204 86895
"1543" "Scotland County" "MO" 234 3 4883 4762 82 0 0 14 42939 219 289 2156 103 4749 0 339 792 879 736 204 51 266 1213 259 47.9213598197829 0.614376407945935 0.0128205128205128 770 1382 813 230 289 90
"1544" "Carter County" "MO" 405 7 6255 5918 1 0 53 142 37875 516 340 2484 183 6189 0 266 900 1210 889 226 78 285 1426 434 64.7482014388489 1.11910471622702 0.0172839506172839 1116 1535 1323 265 345 121
"1545" "Wayne County" "MO" 758 9 13369 12738 81 15 53 217 35135 1244 780 4501 396 13109 25 482 3065 3182 1937 342 21 716 3069 870 56.6983319620016 0.673199192160969 0.0118733509234828 2051 2861 2602 540 832 250
"1546" "Stone County" "MS" 1447 21 17981 13814 3458 0 74 345 46283 1218 937 7588 452 17342 41 881 2995 2624 2414 785 156 1002 4874 2166 80.4738334909071 1.16789944941883 0.0145127850725639 2867 4076 3822 1026 1307 313
"1547" "Benton County" "MS" 820 23 8306 4999 3042 0 0 204 40605 522 474 2923 465 8234 52 292 1663 1449 1186 305 20 198 1841 860 98.7238141102817 2.76908259089815 0.0280487804878049 1376 1842 1548 402 355 173
"1548" "Grenada County" "MS" 2194 71 21379 11775 9239 0 63 92 34876 1164 2404 7958 922 20987 50 620 5070 4446 2477 852 114 678 6490 845 102.624070349408 3.32101595023154 0.0323609845031905 3718 5092 4535 1246 1642 786
"1549" "Clarke County" "MS" 1398 62 16089 10197 5650 0 16 138 37626 1166 1242 6137 613 15975 11 521 2961 3361 2318 552 134 558 4270 1250 86.89166511281 3.85356454720617 0.0443490701001431 2560 3681 3422 1024 993 357
"1550" "Greene County" "MS" 1104 29 13801 9950 3531 0 23 156 48029 771 491 3972 525 10440 115 449 1572 1736 1834 468 136 511 2291 1169 79.9942033186001 2.10129700746323 0.026268115942029 1699 2781 3022 688 610 206
"1551" "Franklin County" "MS" 667 15 7772 4910 2795 2 0 65 42388 606 698 2883 231 7666 12 295 1369 1453 1129 429 86 227 1942 609 85.8208955223881 1.93000514668039 0.0224887556221889 1321 1883 1658 398 594 211
"1552" "Lawrence County" "MS" 1029 17 12659 8283 4199 4 0 68 40432 744 945 4722 486 12639 1 697 2498 2378 1766 623 55 322 3018 1295 81.2860415514654 1.342918081997 0.0165208940719145 2064 3090 2539 953 785 280
"1553" "Noxubee County" "MS" 1108 22 10942 2837 7887 4 20 148 30808 1378 1461 3953 689 10680 132 294 3725 2326 1400 243 33 610 2830 681 101.261195393895 2.01060135258636 0.01985559566787 1928 2799 1810 544 589 292
"1554" "Panola County" "MS" 3723 79 34229 16177 17163 4 22 599 35891 2618 3446 12653 1037 33978 296 1135 6979 6939 4210 1153 147 974 9972 1747 108.767419439656 2.30798445762365 0.0212194466827827 5882 8753 5633 1928 2188 784
"1555" "Quitman County" "MS" 696 8 7537 2051 5351 6 0 98 25671 1082 1025 2333 750 7360 47 143 2762 2080 846 136 10 209 1547 515 92.3444341249834 1.06143027729866 0.0114942528735632 1249 1858 1319 419 369 197
"1556" "Winston County" "MS" 2016 66 18482 9304 8690 6 230 215 33313 1783 1823 7303 800 18038 68 454 4568 4074 2491 626 220 1242 5362 1431 109.079103993074 3.57104209501136 0.0327380952380952 3024 4230 3801 1186 1351 469
"1557" "Smith County" "MS" 1214 24 16114 11980 3809 7 0 265 37697 745 981 6463 317 16024 18 680 2914 3042 2001 713 94 433 4298 1543 75.3382152165818 1.48938810971826 0.0197693574958814 2787 3954 2899 826 774 391
"1558" "Choctaw County" "MS" 609 13 8360 5649 2581 11 43 41 34542 662 532 3046 354 8164 13 258 1998 1795 1065 297 41 333 2054 714 72.8468899521531 1.55502392344498 0.0213464696223317 1356 1873 1652 459 649 241
"1559" "Perry County" "MS" 1026 31 12047 9319 2380 11 0 172 35374 930 756 4282 484 11943 7 430 2377 2415 1643 385 33 210 2858 926 85.1664314767162 2.57325475222047 0.0302144249512671 2048 2820 2600 870 637 181
"1560" "Humphreys County" "MS" 831 24 8678 1847 6549 14 14 248 26188 1124 1417 2730 732 8576 137 123 3469 2212 656 176 75 450 2033 399 95.7593915648767 2.76561419681954 0.0288808664259928 1554 2353 1306 267 425 289
"1561" "Wayne County" "MS" 2029 32 20458 11831 8289 14 61 131 35215 1689 1454 7800 909 20160 53 809 4889 4197 2326 1041 198 635 4924 1798 99.1788053573174 1.56418027177632 0.015771315919172 3252 5108 3417 974 880 691
"1562" "Webster County" "MS" 928 24 9868 7698 1893 15 17 145 35634 777 646 3502 363 9785 16 458 2477 1993 1467 289 93 387 2635 640 94.0413457640859 2.43210376976084 0.0258620689655172 1685 2400 2077 597 804 379
"1563" "Tishomingo County" "MS" 1893 61 19476 18193 488 18 50 571 36672 1070 914 7890 952 19195 253 849 3570 4134 2725 647 100 832 6130 988 97.1965495995071 3.13205997124666 0.0322239830956154 3136 4310 3633 1276 1054 381
"1564" "Chickasaw County" "MS" 1850 44 17305 8737 7492 18 23 765 33579 1445 1723 6746 556 17014 300 536 3898 3602 2239 507 106 951 5279 990 106.905518636232 2.54261774053742 0.0237837837837838 2687 4320 2973 929 1009 218
"1565" "Sharkey County" "MS" 431 17 4631 1245 3331 19 5 28 30033 583 578 1509 265 4531 60 131 1315 1139 501 152 17 221 977 260 93.0684517382855 3.67091340963075 0.0394431554524362 816 1153 896 193 486 150
"1566" "Yalobusha County" "MS" 1178 34 12426 7243 4932 21 26 187 37647 944 1055 5274 296 12215 12 396 2756 2694 2070 394 38 579 4147 792 94.8012232415902 2.73619829389989 0.0288624787775891 1971 2877 2559 649 757 329
"1567" "Montgomery County" "MS" 1098 34 10309 5398 4332 30 0 235 34983 923 1220 4071 408 10167 88 442 2604 2478 1597 396 53 268 3250 505 106.508875739645 3.29808904840431 0.0309653916211293 1546 2372 1825 555 1049 330
"1568" "Calhoun County" "MS" 1365 21 14617 9501 3981 30 0 829 33370 1033 1119 5260 482 14275 344 468 3836 3369 2104 345 35 484 3802 969 93.3844154067182 1.43668331394951 0.0153846153846154 2462 3525 2796 866 579 431
"1569" "Jefferson County" "MS" 549 19 7463 974 6448 32 0 9 21779 867 1115 1833 195 7018 9 464 3301 1736 551 145 21 82 1158 168 73.562910357765 2.54589307249096 0.034608378870674 1044 1857 1173 263 244 257
"1570" "Amite County" "MS" 984 26 12574 7211 5277 34 0 29 30129 937 863 4550 553 12464 29 428 2846 3016 1434 449 95 635 2648 1462 78.2567202163194 2.06775886750437 0.0264227642276423 1785 2643 2485 759 796 362
"1571" "Covington County" "MS" 2146 71 19172 11637 6824 46 0 460 36471 1424 1682 7377 712 18879 100 933 4363 3681 2510 702 26 1186 5979 1033 111.934070519508 3.70331733778427 0.0330848089468779 2954 4804 3632 993 1171 635
"1572" "Simpson County" "MS" 2364 67 27215 16770 9944 62 3 137 37591 2004 2068 10299 1136 26639 65 1000 7226 5060 3095 995 172 916 6247 3412 86.8638618408966 2.4618776410068 0.02834179357022 4695 6729 5588 1630 1551 660
"1573" "Walthall County" "MS" 1123 36 14670 7736 6704 68 0 87 31077 952 1252 5553 398 14326 80 527 3762 3671 1621 511 100 626 3419 1349 76.5507839127471 2.45398773006135 0.0320569902048085 2369 3533 2404 891 555 331
"1574" "Leflore County" "MS" 3041 107 30113 6892 22032 216 0 773 25210 2469 4831 9106 1244 28760 407 936 11604 6700 2813 880 84 711 7695 631 100.986284993192 3.55328263540664 0.0351857941466623 5315 8387 4501 759 2069 889
"1575" "Harrison County" "MS" 13567 194 200491 129479 48160 5915 976 10718 44684 13920 17780 84351 8777 194843 4863 8576 39854 34898 31601 9562 1569 8303 75174 8333 67.6688729169888 0.967624481896943 0.0142994029630722 31429 48654 46792 12718 18557 7480
"1576" "George County" "MS" 1998 39 23545 20590 1818 201 117 636 47640 1069 940 8011 720 23037 189 1536 3385 3023 3193 794 210 1048 4284 2983 84.8587810575494 1.65640263325547 0.0195195195195195 4053 6264 4616 1352 1049 603
"1577" "Pontotoc County" "MS" 3678 53 31075 23975 4610 241 6 1940 41865 1527 2449 13673 920 30716 953 1459 5232 5104 4471 1102 168 1051 11456 1438 118.358809332261 1.70555108608206 0.0144100054377379 5476 8357 6070 1523 2107 688
"1578" "Lamar County" "MS" 4885 65 60517 45199 12076 839 42 1543 56129 3171 4067 27791 2802 60039 885 3173 9776 8154 8671 4221 976 1903 23189 3115 80.7211196853777 1.0740783581473 0.0133060388945752 10586 15325 12205 3266 8917 3266
"1579" "Copiah County" "MS" 2427 49 28748 12768 14853 65 0 850 38046 2108 2819 10312 1445 27888 302 749 6782 5093 3644 919 122 1210 6964 2797 84.4232642270767 1.70446639766245 0.0201895344046147 4575 6794 6521 2269 1806 574
"1580" "Carroll County" "MS" 1048 21 10221 6567 3422 69 7 50 43068 291 561 3737 283 10062 34 274 1404 1750 1217 463 162 165 3100 451 102.533998630271 2.05459348400352 0.0200381679389313 1865 2017 2231 736 789 244
"1581" "Scott County" "MS" 2480 46 28399 14163 10927 73 128 3069 33601 1862 3508 10960 1336 28060 1526 894 7795 5914 3070 870 242 1862 7242 2496 87.3270185569914 1.61977534420226 0.0185483870967742 4910 7505 4647 1558 1600 544
